image_idx,DSC_metric,NSD_metric,modality
580,0.989257,0.904605,CT
581,0.942577,0.767974,CT
582,0.981261,0.979094,CT
583,0.988745,0.945489,CT
584,0.951663,0.910781,CT
585,0.952457,0.686701,CT
586,0.94981,0.688462,CT
587,0.978512,0.886689,CT
588,0.970396,0.864553,CT
589,0.931406,0.262712,CT
590,0.832572,0.201232,CT
591,0.909731,0.096859,CT
592,0.984703,0.921926,CT
593,0.903263,0.814558,CT
594,0.979677,0.921649,CT
595,0.990664,0.962797,CT
596,0.982948,0.96238,CT
597,0.992459,0.952436,CT
598,0.978879,0.87113,CT
599,0.944843,0.735157,CT
600,0.922043,0.824074,CT
601,0.973152,0.937653,CT
602,0.985439,0.890872,CT
603,0.9845,0.958199,CT
604,0.87451,0.102082,CT
605,0.750099,0.210526,CT
606,0.85578,0.067651,CT
607,0.991136,0.930161,CT
608,0.976308,0.795353,CT
609,0.452253,0.173799,CT
610,0.080179,0.052669,CT
611,0.992564,0.953013,CT
612,0.975991,0.798836,CT
613,0.969384,0.829453,CT
614,0.955187,0.742902,CT
615,0.988668,0.92379,CT
616,0.982191,0.917943,CT
617,0.989267,0.952267,CT
618,0.957831,0.959596,CT
619,0.989386,0.993684,CT
620,0.989998,0.891392,CT
621,0.974469,0.794444,CT
622,0.989026,0.898423,CT
623,0.594549,0.426426,CT
624,0.964195,0.880769,CT
625,0.972973,0.903689,CT
626,0.949876,0.82563,CT
627,0.989294,0.946274,CT
628,0.9249,0.270383,CT
629,0.744853,0.245091,CT
630,0.93781,0.202543,CT
631,0.986317,0.985889,CT
632,0.863951,0.614958,CT
633,0.986168,0.990058,CT
634,0.760706,0.221584,CT
635,0.846224,0.303419,CT
636,0.406468,0.160147,CT
637,0.701159,0.134864,CT
638,0.682704,0.266667,CT
639,0.989213,0.955081,CT
640,0.988905,0.980666,CT
641,0.978126,0.858031,CT
642,0.892787,0.475978,CT
643,0.989686,0.9984,CT
644,0.912035,0.749614,CT
645,0.952212,0.887755,CT
646,0.834913,0.406863,CT
